major-version,total-days-between-all-updates,average-days-between-updates,most-days-between-updates,least-days-between-updates,median-days-between-updates
iPhone OS 1,382,47.75,140,13,37
iPhone OS 2,200,33.3333333333333,70,3,23
iPhone OS 3,420,52.5,117,8,42
iOS 4,469,39.0833333333333,102,10,25.5
iOS 5,226,45.2,86,18,32
iOS 6,520,57.7777777777778,196,8,43
iOS 7,285,31.6666666666667,76,2,23
iOS 8,330,33,83,1,29
iOS 9,1405,78.0555555555556,1061,1,21
iOS 10,309,28.0909090909091,65,0,24
iOS 11,355,23.6666666666667,69,7,20
iOS 12,1650,55,342,1,40.5
iOS 13,362,19.0526315789474,56,2,14
iOS 14,405,25.3125,56,1,23
iOS 15,672,30.5454545454545,65,0,29.5
iOS 16,315,19.6875,42,2,17
