major-version,specific-version,release-date,days-since-last-update,notes
iPadOS 13,13.1,2019-09-24,0,no dot-0 version
iPadOS 13,13.1.1,2019-09-27,3,
iPadOS 13,13.1.2,2019-09-30,3,
iPadOS 13,13.1.3,2019-10-15,15,
iPadOS 13,13.2,2019-10-28,13,
iPadOS 13,13.2.2,2019-11-07,10,skipped 1 patch level
iPadOS 13,13.2.3,2019-11-18,11,
iPadOS 13,13.3,2019-12-10,22,
iPadOS 13,13.3.1,2020-01-28,49,
iPadOS 13,13.4,2020-03-24,56,
iPadOS 13,13.4.1,2020-04-07,14,
iPadOS 13,13.5,2020-05-20,43,
iPadOS 13,13.5.1,2020-06-01,12,
iPadOS 13,13.6,2020-07-15,44,
iPadOS 13,13.6.1,2020-08-12,28,
iPadOS 13,13.7,2020-09-01,20,
iPadOS 14,14.0,2020-09-16,0,
iPadOS 14,14.0.1,2020-09-24,8,
iPadOS 14,14.1,2020-10-20,26,
iPadOS 14,14.2,2020-11-05,16,
iPadOS 14,14.3,2020-12-14,39,
iPadOS 14,14.4,2021-01-26,43,
iPadOS 14,14.4.1,2021-03-08,41,
iPadOS 14,14.4.2,2021-03-26,18,
iPadOS 14,14.5,2021-04-26,31,
iPadOS 14,14.5.1,2021-05-03,7,
iPadOS 14,14.6,2021-05-24,21,
iPadOS 14,14.7,2021-07-21,58,
iPadOS 14,14.7.1,2021-07-26,5,
iPadOS 14,14.8,2021-09-13,49,
iPadOS 14,14.8.1,2021-10-26,43,
iPadOS 15,15.0,2021-09-20,0,
iPadOS 15,15.0.1,2021-10-01,11,
iPadOS 15,15.0.2,2021-10-11,10,
iPadOS 15,15.1,2021-10-25,14,
iPadOS 15,15.2,2021-12-13,49,
iPadOS 15,15.2.1,2022-01-12,30,
iPadOS 15,15.3,2022-01-26,14,
iPadOS 15,15.3.1,2022-02-10,15,
iPadOS 15,15.4,2022-03-14,32,
iPadOS 15,15.4.1,2022-03-31,17,
iPadOS 15,15.5,2022-05-16,46,
iPadOS 15,15.6,2022-06-20,35,
iPadOS 15,15.6.1,2022-08-17,58,
iPadOS 15,15.7,2022-09-12,26,
iPadOS 15,15.7.1,2022-10-27,45,
iPadOS 15,15.7.2,2022-12-13,47,
iPadOS 15,15.7.3,2023-01-23,41,
iPadOS 15,15.7.4,2023-03-27,63,
iPadOS 15,15.7.5,2023-04-10,14,
iPadOS 15,15.7.7,2023-06-21,72,skipped 1 patch level
iPadOS 15,15.7.8,2023-07-24,33,
iPadOS 16,16.1,2022-10-24,0,no dot-0 version
iPadOS 16,16.1.1,2022-11-09,16,
iPadOS 16,16.2,2022-12-13,34,
iPadOS 16,16.3,2023-01-23,41,
iPadOS 16,16.3.1,2023-02-13,21,
iPadOS 16,16.4,2023-03-27,42,
iPadOS 16,16.4.1,2023-04-07,11,
iPadOS 16,16.4.1 (a),2023-05-01,24,
iPadOS 16,16.5,2023-05-18,17,
iPadOS 16,16.5.1,2023-06-21,51,
iPadOS 16,16.5.1 (a),2023-07-10,53,
iPadOS 16,16.5.1 (c),2023-07-12,2,there is no (b)
iPadOS 16,16.6,2023-07-24,12,
iPadOS 17,17.0,2023-09-18,0,
iPadOS 17,17.0.1,2023-09-21,3,
iPadOS 17,17.0.2,2023-09-26,5,
iPadOS 17,17.0.3,2023-10-04,8,
iPadOS 17,17.1,2023-10-25,21,
iPadOS 17,17.1.1,2023-11-07,13,
